Date,Open,High,Low,Close,Adj Close,Volume
07-08-2015,2.83162,3.53661,2.52112,2.77212,2.77212,164329
08-08-2015,2.79376,2.79881,0.714725,0.753325,0.753325,674188
09-08-2015,0.706136,0.87981,0.629191,0.701897,0.701897,532170
10-08-2015,0.713989,0.729854,0.636546,0.708448,0.708448,405283
11-08-2015,0.708087,1.13141,0.663235,1.06786,1.06786,1463100
12-08-2015,1.05875,1.28994,0.883608,1.21744,1.21744,2150620
13-08-2015,1.22224,1.96507,1.17199,1.82767,1.82767,4068680
14-08-2015,1.81092,2.26188,1.75475,1.82787,1.82787,4637030
15-08-2015,1.80289,1.87724,1.57098,1.6889,1.6889,2554360
16-08-2015,1.68435,1.69524,1.08981,1.56603,1.56603,3550790
17-08-2015,1.58119,1.58119,1.18534,1.20361,1.20361,1942830
18-08-2015,1.2153,1.33116,1.08705,1.08705,1.08705,1485680
19-08-2015,1.16693,1.31799,1.16693,1.25886,1.25886,1486240
20-08-2015,1.25118,1.5333,1.24833,1.46492,1.46492,2843760
21-08-2015,1.47752,1.55642,1.3528,1.39529,1.39529,2020970
22-08-2015,1.39629,1.47641,1.35268,1.37923,1.37923,948310
23-08-2015,1.375,1.4097,1.29777,1.35259,1.35259,1589300
24-08-2015,1.34559,1.36278,1.23127,1.23127,1.23127,924920
25-08-2015,1.22861,1.24182,1.12865,1.14019,1.14019,1307180
26-08-2015,1.13279,1.20248,1.06183,1.15998,1.15998,1056750
27-08-2015,1.16981,1.18883,1.13729,1.1477,1.1477,686662
28-08-2015,1.14766,1.20779,1.1205,1.19138,1.19138,721872
29-08-2015,1.19353,1.20721,1.14949,1.18255,1.18255,375377
30-08-2015,1.18299,1.36799,1.17061,1.31927,1.31927,1337650
31-08-2015,1.32138,1.39615,1.20101,1.35824,1.35824,1447180
01-09-2015,1.35348,1.39274,1.33663,1.35161,1.35161,778862
02-09-2015,1.35157,1.35491,1.26462,1.29479,1.29479,883769
03-09-2015,1.29519,1.30999,1.21103,1.26493,1.26493,702991
04-09-2015,1.26493,1.30252,1.23681,1.27441,1.27441,474391
05-09-2015,1.28056,1.3423,1.27119,1.33881,1.33881,448453
06-09-2015,1.33801,1.37364,1.29425,1.29583,1.29583,491968
07-09-2015,1.2959,1.30548,1.23785,1.24665,1.24665,489014
08-09-2015,1.24665,1.28238,1.23061,1.24243,1.24243,427892
09-09-2015,1.23935,1.26048,1.20184,1.20651,1.20651,366748
10-09-2015,1.20761,1.22157,1.13615,1.16577,1.16577,662782
11-09-2015,1.16497,1.16907,0.940675,0.982978,0.982978,1942600
12-09-2015,0.987228,1.11489,0.96978,1.03874,1.03874,772430
13-09-2015,1.04178,1.0427,0.902832,0.936003,0.936003,644138
14-09-2015,0.940566,0.949387,0.87176,0.875622,0.875622,741085
15-09-2015,0.875189,1.04554,0.875189,0.94441,0.94441,703390
16-09-2015,0.941977,0.952698,0.901639,0.907175,0.907175,615593
17-09-2015,0.906865,0.909204,0.831132,0.874231,0.874231,897940
18-09-2015,0.874574,0.888102,0.833908,0.853685,0.853685,484622
19-09-2015,0.849603,0.911883,0.833784,0.882391,0.882391,386988
20-09-2015,0.881191,0.947741,0.873205,0.938445,0.938445,508314
21-09-2015,0.941496,0.957326,0.878301,0.919047,0.919047,424039
22-09-2015,0.919337,0.919337,0.865225,0.901796,0.901796,487914
23-09-2015,0.90356,0.90891,0.885136,0.893406,0.893406,200541
24-09-2015,0.896796,0.908571,0.79346,0.81361,0.81361,842505
25-09-2015,0.820031,0.825665,0.712745,0.736223,0.736223,903457
26-09-2015,0.73763,0.787544,0.709328,0.785964,0.785964,369620
27-09-2015,0.791277,0.791277,0.719169,0.720839,0.720839,413801
28-09-2015,0.723715,0.725677,0.557062,0.582886,0.582886,1320890
29-09-2015,0.579414,0.67583,0.558346,0.661146,0.661146,913992
30-09-2015,0.661192,0.746722,0.635861,0.738644,0.738644,619926
01-10-2015,0.734307,0.734307,0.655906,0.690215,0.690215,596084
02-10-2015,0.683732,0.69112,0.654605,0.678574,0.678574,219318
03-10-2015,0.678783,0.709204,0.675482,0.687171,0.687171,163326
04-10-2015,0.686343,0.693126,0.660716,0.668379,0.668379,103497
05-10-2015,0.666784,0.674438,0.62445,0.628643,0.628643,234263
06-10-2015,0.622218,0.653944,0.60623,0.650645,0.650645,262674
07-10-2015,0.650515,0.656301,0.602423,0.609388,0.609388,218327
08-10-2015,0.609501,0.633138,0.591971,0.621716,0.621716,310266
09-10-2015,0.655084,0.692296,0.632116,0.650628,0.650628,386420
10-10-2015,0.641187,0.649022,0.624374,0.627857,0.627857,141555
11-10-2015,0.627461,0.639506,0.618335,0.634963,0.634963,102128
12-10-2015,0.634515,0.657789,0.62603,0.62603,0.62603,109567
13-10-2015,0.627943,0.63024,0.599214,0.607655,0.607655,303044
14-10-2015,0.61224,0.61224,0.483974,0.522968,0.522968,971664
15-10-2015,0.523278,0.572714,0.51473,0.561878,0.561878,371022
16-10-2015,0.562593,0.568861,0.522533,0.536495,0.536495,249891
17-10-2015,0.534117,0.56346,0.526961,0.547178,0.547178,313860
18-10-2015,0.547913,0.552234,0.512861,0.517734,0.517734,133690
19-10-2015,0.517621,0.521546,0.480994,0.489014,0.489014,243742
20-10-2015,0.489629,0.501898,0.431648,0.434829,0.434829,383921
21-10-2015,0.431589,0.482988,0.420897,0.447329,0.447329,609085
22-10-2015,0.444988,0.619466,0.420991,0.567702,0.567702,924822
23-10-2015,0.56637,0.611743,0.504284,0.539657,0.539657,878822
24-10-2015,0.539681,0.577396,0.518688,0.56359,0.56359,258356
25-10-2015,0.563207,0.688192,0.561383,0.616039,0.616039,635384
26-10-2015,0.619743,0.757517,0.597098,0.731317,0.731317,1089120
27-10-2015,0.70889,0.898172,0.70889,0.869641,0.869641,1846370
28-10-2015,0.870938,1.05579,0.807857,1.00248,1.00248,2373050
29-10-2015,1.00525,1.20666,0.947374,1.20666,1.20666,2279240
30-10-2015,1.2092,1.34505,0.96816,1.04122,1.04122,2429200
31-10-2015,1.04658,1.05638,0.900171,0.916627,0.916627,673892
01-11-2015,0.920847,1.07674,0.899082,1.05567,1.05567,588913
02-11-2015,1.05797,1.09979,0.953647,0.989789,0.989789,1145200
03-11-2015,0.994568,1.07044,0.936615,1.01336,1.01336,1907690
04-11-2015,1.01065,1.03872,0.725665,0.89905,0.89905,3060340
05-11-2015,0.900699,0.991259,0.860382,0.895637,0.895637,1179840
06-11-2015,0.904772,0.989848,0.852929,0.926032,0.926032,913666
07-11-2015,0.923732,0.943787,0.863539,0.927974,0.927974,890187
08-11-2015,0.915661,1.03268,0.915661,1.02747,1.02747,1021460
09-11-2015,1.03253,1.10642,0.945263,0.999278,0.999278,2045290
10-11-2015,1.00126,1.05304,0.920968,0.934348,0.934348,854581
11-11-2015,0.941296,0.945278,0.729775,0.791829,0.791829,1278580
12-11-2015,0.796455,0.913919,0.76351,0.895711,0.895711,806156
13-11-2015,0.907722,0.917309,0.846023,0.904096,0.904096,543671
14-11-2015,0.905469,0.906113,0.876908,0.888812,0.888812,372514
15-11-2015,0.891217,0.921516,0.874957,0.906368,0.906368,411848
16-11-2015,0.906166,0.944732,0.891971,0.928962,0.928962,620945
